|                          PERSON | author_adopted |
| :------------------------------ | -------------: |
|                           Janet |            182 |
|                          Murphy |             45 |
|                           snail |             47 |
|                            Aris |             67 |
|                              G. |             65 |
|                             4st |             15 |
|                             nix |             53 |
|                        Mischief |             38 |
|                          R. Lee |             16 |
|                          ais523 |             20 |
|                          Alexis |              9 |
|                       Falsifian |             12 |
|                Yachay Wayllukuq |              4 |
|                          ATMunn |              8 |
|                            Kate |             10 |
|                          Gaelan |              7 |
|                          Trigon |              6 |
|                           kiako |              4 |
| Publius Scribonius Scholasticus |              9 |
|                          Bernie |              4 |
|                            juan |              5 |
|                   Jacob Arduino |              2 |
|                             omd |              3 |
|                          Madrid |              0 |
|             Baron von Vanderham |              3 |
|                           Telna |              2 |
|                         Maloney |              1 |
|                         juniper |              1 |
|                      D. Margaux |              0 |
|                        Warrigal |              2 |
|                         ziproot |              1 |
|                         Shy Owl |              0 |
|                           Jimmy |              0 |
|                      Quadrantal |              2 |
|                        oliver.n |              0 |
|                            grok |              1 |
|                         Pilgore |              1 |
|                          Zipzap |              1 |
|                           Cosmo |              1 |
