|                          PERSON | author_written |
| :------------------------------ | -------------: |
|                           Janet |            174 |
|                           Aspen |             82 |
|                              G. |             77 |
|                             nix |             61 |
|                           snail |             60 |
|                          Murphy |             55 |
|                             4st |             39 |
|                          R. Lee |             32 |
|                          Alexis |             22 |
|                       Falsifian |             16 |
|                          ATMunn |             15 |
|                          Gaelan |             11 |
|                Yachay Wayllukuq |             11 |
| Publius Scribonius Scholasticus |             10 |
|                          Trigon |              9 |
|                          Bernie |              6 |
|                            Kate |              5 |
|                            juan |              5 |
|                          ais523 |              4 |
|                   Jacob Arduino |              3 |
|                             omd |              3 |
|                          Madrid |              3 |
|             Baron von Vanderham |              3 |
|                           Telna |              3 |
|                      D. Margaux |              2 |
|                        Warrigal |              2 |
|                         ziproot |              2 |
|                            grok |              1 |
|                         Pilgore |              1 |
|                         Shy Owl |              1 |
