|                          PERSON | coauthor_adopted |
| :------------------------------ | ---------------: |
|                           Janet |               80 |
|                              G. |               59 |
|                             nix |               38 |
|                          Murphy |               26 |
|                            Aris |               33 |
|                          ais523 |               32 |
|                           snail |               20 |
|                            Kate |               22 |
|                          Trigon |               23 |
|                       Falsifian |               13 |
|                          Gaelan |               13 |
|                          Alexis |                9 |
|                             4st |               10 |
| Publius Scribonius Scholasticus |               10 |
|                        Mischief |                8 |
|                            juan |                3 |
|                           kiako |                3 |
|                          Madrid |                5 |
|                          R. Lee |                3 |
|                Yachay Wayllukuq |                2 |
|                             omd |                3 |
|                          Oerjan |                4 |
|                           Telna |                3 |
|                          Zipzap |                1 |
|                          ATMunn |                3 |
|                         ziproot |                2 |
|                        oliver.n |                1 |
|                      D. Margaux |                1 |
|                           Bucky |                1 |
|                    cuddlybanana |                1 |
|                         Shy Owl |                1 |
|                           Jimmy |                0 |
|                       mqyhlkahu |                1 |
|                           Immae |                0 |
