|                          PERSON | coauthor_adopted_rate |
| :------------------------------ | --------------------: |
|                           Janet |                  0.74 |
|                              G. |                  0.73 |
|                             nix |                  0.75 |
|                          Murphy |                  0.62 |
|                            Aris |                  0.80 |
|                          ais523 |                  0.84 |
|                           snail |                  0.67 |
|                            Kate |                  0.76 |
|                          Trigon |                  0.85 |
|                       Falsifian |                  0.76 |
|                          Gaelan |                  0.76 |
|                          Alexis |                  0.53 |
|                             4st |                  0.63 |
| Publius Scribonius Scholasticus |                  0.77 |
|                        Mischief |                  0.73 |
|                            juan |                  0.30 |
|                           kiako |                  0.38 |
|                          Madrid |                  0.71 |
|                          R. Lee |                  0.50 |
|                Yachay Wayllukuq |                  0.33 |
|                             omd |                  0.60 |
|                          Oerjan |                  0.80 |
|                           Telna |                  0.60 |
|                          Zipzap |                  0.20 |
|                          ATMunn |                  0.75 |
|                         ziproot |                  1.00 |
|                        oliver.n |                  0.50 |
|                      D. Margaux |                  1.00 |
|                           Bucky |                  1.00 |
|                    cuddlybanana |                  1.00 |
|                         Shy Owl |                  1.00 |
|                           Jimmy |                  0.00 |
|                       mqyhlkahu |                  1.00 |
|                           Immae |                  0.00 |
