| Proposal | Determinative voter count |
| :------- | ------------------------: |
|     8301 |                         9 |
|     8242 |                         9 |
|     8206 |                         8 |
|     8613 |                         8 |
|     8200 |                         7 |
|     8393 |                         7 |
|     8534 |                         7 |
|     8615 |                         7 |
|     8412 |                         7 |
|     8418 |                         7 |
|     8198 |                         6 |
|     8205 |                         6 |
|     8369 |                         6 |
|     8376 |                         6 |
|     8379 |                         6 |
|     8540 |                         6 |
|     8624 |                         6 |
|     8660 |                         6 |
|     8719 |                         6 |
|     8815 |                         6 |
|     8832 |                         6 |
|     8952 |                         6 |
|     8953 |                         6 |
|     8377 |                         6 |
|     8374 |                         5 |
|     8402 |                         5 |
|     8448 |                         5 |
|     8449 |                         5 |
|     8490 |                         5 |
|     8611 |                         5 |
|     8645 |                         5 |
|     8646 |                         5 |
|     8651 |                         5 |
|     8718 |                         5 |
|     8811 |                         5 |
|     8843 |                         5 |
|     8293 |                         5 |
|     8354 |                         5 |
|     8597 |                         5 |
|     8619 |                         5 |
|     8317 |                         5 |
|     8232 |                         4 |
|     8239 |                         4 |
|     8404 |                         4 |
|     8589 |                         4 |
|     8592 |                         4 |
|     8642 |                         4 |
|     8643 |                         4 |
|     8652 |                         4 |
|     8656 |                         4 |
|     8671 |                         4 |
|     8677 |                         4 |
|     8687 |                         4 |
|     8689 |                         4 |
|     8694 |                         4 |
|     8708 |                         4 |
|     8710 |                         4 |
|     8818 |                         4 |
|     8845 |                         4 |
|     8856 |                         4 |
|     8902 |                         4 |
|     8914 |                         4 |
|     8963 |                         4 |
|     8440 |                         4 |
|     8590 |                         4 |
|     8831 |                         4 |
|     8608 |                         4 |
|     8621 |                         4 |
|     8657 |                         4 |
|     8822 |                         4 |
|     8844 |                         4 |
|     8969 |                         4 |
|     8273 |                         4 |
|     8595 |                         4 |
|     8419 |                         4 |
|     8934 |                         4 |
|     8427 |                         4 |
|     8588 |                         4 |
|     8686 |                         4 |
|     8690 |                         4 |
|     8692 |                         4 |
|     8212 |                         3 |
|     8269 |                         3 |
|     8271 |                         3 |
|     8308 |                         3 |
|     8322 |                         3 |
|     8326 |                         3 |
|     8329 |                         3 |
|     8370 |                         3 |
|     8488 |                         3 |
|     8500 |                         3 |
|     8520 |                         3 |
|     8568 |                         3 |
|     8577 |                         3 |
|     8606 |                         3 |
|     8639 |                         3 |
|     8674 |                         3 |
|     8691 |                         3 |
|     8699 |                         3 |
