|                          PERSON | voter_determination_rate |
| :------------------------------ | -----------------------: |
|                           Janet |                     0.26 |
|                          Murphy |                     0.14 |
|                              G. |                     0.23 |
|                             nix |                     0.11 |
|                       Falsifian |                     0.08 |
|                            Aris |                     0.15 |
|                           snail |                     0.22 |
|                          ais523 |                     0.19 |
|                          Trigon |                     0.12 |
|                            juan |                     0.11 |
|                            Kate |                     0.11 |
|                          R. Lee |                     0.13 |
|                          ATMunn |                     0.05 |
|                          Gaelan |                     0.09 |
|                             4st |                     0.17 |
|                          Madrid |                     0.09 |
| Publius Scribonius Scholasticus |                     0.11 |
|                           Telna |                     0.07 |
|                           Rance |                     0.02 |
|                          Bernie |                     0.03 |
|                          Alexis |                     0.11 |
|                           kiako |                     0.08 |
|                             omd |                     0.05 |
|                Yachay Wayllukuq |                     0.10 |
|                           sukil |                     0.02 |
|                   Jacob Arduino |                     0.05 |
|                               o |                     0.08 |
|                    cuddlybanana |                     0.07 |
|                          Tcbapo |                     0.09 |
|                      D. Margaux |                     0.02 |
|                        Warrigal |                     0.00 |
|             Baron von Vanderham |                     0.00 |
|                         Shy Owl |                     0.04 |
|                           pikhq |                     0.05 |
|                          Halian |                     0.05 |
|                               L |                     0.00 |
|                         Mercury |                     0.06 |
|                         Pilgore |                     0.25 |
|                        Beokirby |                     0.10 |
|                      Quadrantal |                     0.11 |
|                            Jaff |                     0.00 |
|                           wunst |                     0.11 |
|                         ziproot |                     0.33 |
|                          Walker |                     0.60 |
|                     Tarhulindur |                     0.00 |
|                        lucidiot |                     0.00 |
|                           Aenet |                     0.00 |
|               inalienableWright |                     0.00 |
|                            JTAC |                     0.00 |
|                           Goren |                     0.00 |
|                             Ben |                     0.33 |
|                            Noah |                     0.00 |
