|                          PERSON | voter_endorsee_all_times |
| :------------------------------ | -----------------------: |
|                           Janet |                      339 |
|                          Murphy |                       46 |
|                              G. |                      193 |
|                             nix |                       45 |
|                       Falsifian |                       74 |
|                           snail |                       29 |
|                            Aris |                      101 |
|                          ais523 |                       27 |
|                          Trigon |                       30 |
|                            juan |                       11 |
|                            Kate |                      135 |
|                          R. Lee |                       80 |
|                          ATMunn |                        5 |
|                          Gaelan |                        2 |
|                             4st |                        6 |
|                          Madrid |                        3 |
| Publius Scribonius Scholasticus |                       16 |
|                           Telna |                        3 |
|                           Rance |                        0 |
|                          Bernie |                        0 |
|                          Alexis |                       13 |
|                           kiako |                        0 |
|                Yachay Wayllukuq |                        2 |
|                             omd |                        3 |
|                           sukil |                        0 |
|                   Jacob Arduino |                        0 |
|                               o |                        0 |
|                    cuddlybanana |                        2 |
|                          Tcbapo |                        0 |
|                      D. Margaux |                       22 |
|                        Warrigal |                        0 |
|             Baron von Vanderham |                        3 |
|                         Shy Owl |                        0 |
|                           wunst |                        0 |
|                            Jaff |                        0 |
|                           pikhq |                        0 |
|                        Mischief |                        0 |
|                          Halian |                        0 |
|                               L |                        0 |
|                         Mercury |                        0 |
|                      Quadrantal |                        0 |
|                         Pilgore |                        0 |
|                        Beokirby |                        0 |
|                         ziproot |                        0 |
|                          Walker |                        0 |
|                     Tarhulindur |                        0 |
|                        lucidiot |                        0 |
|                           Aenet |                        1 |
|               inalienableWright |                        0 |
|                         juniper |                        0 |
|                            JTAC |                        0 |
|                           Goren |                        0 |
|                             Ben |                        0 |
|                            Noah |                        0 |
