|                          PERSON | voter_endorser_all_times |
| :------------------------------ | -----------------------: |
|                           Janet |                       59 |
|                              G. |                       15 |
|                          Murphy |                       30 |
|                       Falsifian |                      168 |
|                             nix |                       26 |
|                            Aris |                       26 |
|                           snail |                       15 |
|                          Trigon |                       12 |
|                          ais523 |                        4 |
|                            Kate |                      161 |
|                            juan |                       10 |
|                          ATMunn |                       58 |
|                          R. Lee |                        2 |
|                          Gaelan |                       37 |
|                             4st |                       44 |
|                          Madrid |                        0 |
| Publius Scribonius Scholasticus |                        6 |
|                           Telna |                       22 |
|                           Rance |                       87 |
|                          Bernie |                      105 |
|                          Alexis |                       11 |
|                             omd |                        3 |
|                           sukil |                       15 |
|                   Jacob Arduino |                       60 |
|                               o |                       20 |
|                Yachay Wayllukuq |                        0 |
|                    cuddlybanana |                        0 |
|                          Tcbapo |                       55 |
|                      D. Margaux |                       24 |
|                           kiako |                        6 |
|                        Warrigal |                        0 |
|             Baron von Vanderham |                       28 |
|                         Shy Owl |                        0 |
|                           pikhq |                        0 |
|                          Halian |                       19 |
|                               L |                       19 |
|                         Pilgore |                        0 |
|                        Beokirby |                        0 |
|                         Mercury |                        0 |
|                         ziproot |                        2 |
|                          Walker |                        0 |
|                     Tarhulindur |                        0 |
|                        lucidiot |                        0 |
|                           Aenet |                        0 |
|               inalienableWright |                        0 |
|                            JTAC |                        1 |
|                           Goren |                        0 |
|                            Noah |                        0 |
