|                          PERSON | voter_strength_cumulative |
| :------------------------------ | ------------------------: |
|                           Janet |                      3635 |
|                              G. |                      2836 |
|                          Murphy |                      2227 |
|                       Falsifian |                      1698 |
|                             nix |                      1830 |
|                            Aris |                      1279 |
|                           snail |                      1485 |
|                          Trigon |                      1366 |
|                          ais523 |                      1164 |
|                            Kate |                       810 |
|                            juan |                       830 |
|                          ATMunn |                      1066 |
|                          R. Lee |                       558 |
|                          Gaelan |                       882 |
|                             4st |                       859 |
|                          Madrid |                       808 |
| Publius Scribonius Scholasticus |                       587 |
|                           Telna |                       657 |
|                           Rance |                       354 |
|                          Bernie |                       315 |
|                          Alexis |                       319 |
|                             omd |                       227 |
|                           sukil |                       189 |
|                   Jacob Arduino |                       183 |
|                               o |                       183 |
|                    cuddlybanana |                       462 |
|                          Tcbapo |                       168 |
|                Yachay Wayllukuq |                       216 |
|                      D. Margaux |                       156 |
|                        Warrigal |                       126 |
|                           kiako |                       102 |
|             Baron von Vanderham |                        87 |
|                         Shy Owl |                        15 |
|                           pikhq |                        60 |
|                          Halian |                        57 |
|                               L |                        57 |
|                         Pilgore |                        36 |
|                        Beokirby |                        30 |
|                         ziproot |                        18 |
|                          Walker |                        15 |
|                     Tarhulindur |                        15 |
|                        lucidiot |                        15 |
|                           Aenet |                        15 |
|               inalienableWright |                        15 |
|                            JTAC |                        14 |
|                           Goren |                         9 |
|                            Noah |                         6 |
