|                          PERSON | voter_votes_AGAINST |
| :------------------------------ | ------------------: |
|                           Janet |                 359 |
|                          Murphy |                 114 |
|                              G. |                 226 |
|                            juan |                  73 |
|                           snail |                 128 |
|                             nix |                 103 |
|                          ais523 |                 162 |
|                       Falsifian |                 109 |
|                          Trigon |                  60 |
|                            Aris |                  88 |
|                            Kate |                  85 |
|                             4st |                  50 |
|                        Mischief |                  53 |
|                          Gaelan |                  59 |
|                          R. Lee |                  69 |
|                          ATMunn |                  23 |
|                          Madrid |                   1 |
| Publius Scribonius Scholasticus |                  31 |
|                           Telna |                  31 |
|                           kiako |                  41 |
|                           Rance |                  40 |
|                           Cosmo |                  10 |
|                          Bernie |                  20 |
|                          Alexis |                  30 |
|                Yachay Wayllukuq |                  30 |
|                             omd |                  22 |
|                           sukil |                   9 |
|                   Jacob Arduino |                  13 |
|                               o |                  25 |
|                    cuddlybanana |                   0 |
|                          Tcbapo |                  17 |
|                      D. Margaux |                   8 |
|                          Nilrem |                   5 |
|                           Galle |                   8 |
|                         lare290 |                   5 |
|                        Warrigal |                   4 |
|                         Shy Owl |                  10 |
|             Baron von Vanderham |                   3 |
|                         juniper |                   8 |
|                           wunst |                   6 |
|                          kambri |                   0 |
|                            Jaff |                   3 |
|                           pikhq |                   8 |
|                          msh210 |                   3 |
|                          Halian |                   2 |
|                               L |                   1 |
|                        pizza723 |                   3 |
|                         Mercury |                   2 |
|                      Quadrantal |                   5 |
|                           Immae |                   0 |
|                         Pilgore |                   6 |
|                            Lily |                   4 |
|                        Beokirby |                   4 |
|                         Caramel |                   4 |
|                          sprock |                   1 |
|                           Salad |                   3 |
|                     Automaticat |                   1 |
|                         ziproot |                   3 |
|                    Burning Beef |                   3 |
|                          Walker |                   3 |
|                     Tarhulindur |                   4 |
|                        lucidiot |                   0 |
|                           Aenet |                   1 |
|               inalienableWright |                   0 |
|                            JTAC |                   0 |
|                        oliver.n |                   0 |
|                 EarlyRetirement |                   1 |
|                            grok |                   0 |
|                           Despi |                   0 |
|                           Goren |                   0 |
|                             Ben |                   1 |
|              literallyAmbiguous |                   2 |
|                            Noah |                   0 |
