|                          PERSON | voter_votes_PRESENT |
| :------------------------------ | ------------------: |
|                           Janet |                 126 |
|                          Murphy |                 149 |
|                              G. |                  78 |
|                             nix |                 118 |
|                           snail |                  52 |
|                       Falsifian |                  73 |
|                            juan |                 157 |
|                          ais523 |                  65 |
|                            Aris |                  38 |
|                            Kate |                  42 |
|                          Trigon |                  58 |
|                          Gaelan |                  36 |
|                          R. Lee |                  36 |
|                          ATMunn |                  50 |
|                             4st |                  30 |
|                          Madrid |                   0 |
| Publius Scribonius Scholasticus |                   5 |
|                        Mischief |                  16 |
|                           Telna |                  22 |
|                           kiako |                  19 |
|                           Rance |                  14 |
|                          Bernie |                  17 |
|                          Alexis |                   6 |
|                Yachay Wayllukuq |                  14 |
|                             omd |                  18 |
|                           sukil |                  15 |
|                   Jacob Arduino |                   9 |
|                               o |                   2 |
|                    cuddlybanana |                   0 |
|                          Tcbapo |                   7 |
|                      D. Margaux |                  16 |
|                         lare290 |                   7 |
|                        Warrigal |                  12 |
|                         Shy Owl |                   4 |
|                           Cosmo |                   8 |
|             Baron von Vanderham |                   2 |
|                           wunst |                   5 |
|                            Jaff |                   8 |
|                           pikhq |                   2 |
|                         juniper |                   2 |
|                          Halian |                   3 |
|                               L |                   3 |
|                         Mercury |                   7 |
|                      Quadrantal |                   3 |
|                           Immae |                   5 |
|                         Pilgore |                   3 |
|                            Lily |                   0 |
|                          kambri |                   5 |
|                        Beokirby |                   1 |
|                         Caramel |                   0 |
|                          sprock |                   5 |
|                         ziproot |                   1 |
|                    Burning Beef |                   0 |
|                          Walker |                   0 |
|                     Tarhulindur |                   0 |
|                        lucidiot |                   0 |
|                           Aenet |                   0 |
|               inalienableWright |                   1 |
|                            JTAC |                   0 |
|                        oliver.n |                   0 |
|                     Automaticat |                   0 |
|                 EarlyRetirement |                   0 |
|                            grok |                   4 |
|                           Goren |                   0 |
|                             Ben |                   0 |
|              literallyAmbiguous |                   0 |
|                            Noah |                   1 |
